medium;description;compound;bigg_id;formula;exchange_flux
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;D-Mannitol;mnl;C6H14O6;0.149309607743899
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Xylitol;xylt;C5H12O5;0.118307570764359
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Lactose;lcts;C12H22O11;0.0631031868570085
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Sucrose;sucr;C12H22O11;3.38887484972823
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;D-Fructose;fru;C6H12O6;9.19325983772943
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Urate;urate;C5H4N4O3;5.03484914368721
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Decanoate (n-C10:0);dca;C10H19O2;10.3369970342766
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Dodecanoate (n-C12:0);ddca;C12H23O2;10.6961122834903
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Tetradecanoate (n-C14:0);ttdca;C14H27O2;34.0823704824444
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Tetradecenoate (n-C14:1);ttdcea;C14H25O2;4.15261611975481
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Pentadecanoate;ptdca;C15H30O2;3.38249866605686
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Hexadecanoate (n-C16:0);hdca;C16H31O2;131.567978682628
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Heptadecanoate C170 ;hpdca;C17H33O2;2.08092481258538
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Octadecanoate (n-C18:0);ocdca;C18H35O2;38.1732695568797
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Octadecenoate (n-C18:1);ocdcea;C18H33O2;251.126865051195
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Linoleic acid (all cis C18:2) n-6;lnlc;C18H31O2;64.5582643703869
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Alpha-Linolenic acid, C18:3, n-3;lnlnca;C18H29O2;5.1906537952871
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Arachidic acid;arach;C20H39O2;1.39919267468642
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;11-cis-eicosenoate;CE2510;C20H37O2;6.29944563379262
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Cis,cis-11,14-eicosadienoyl-CoA;CE4843;C41H66N7O17P3S;0.296789463876468
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Arachidonic acid;arachd;C20H31O2;0.854810980992813
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Docosanoate;docosac;C22H43O2;0.497621148280383
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;3(Z)-13-docosenoic acid;doco13ac;C22H41O2;6.87220660523161
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Clupanodonic acid;clpnd;C22H33O2;0.422827334579276
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Cervonic acid, C22:6 n-3;crvnc;C22H31O2;1.68797939906614
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Butyrate (n-C4:0);but;C4H7O2;26.8091281924103
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Octanoate (n-C8:0);octa;C8H15O2;5.75139574102588
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Chsterol c;chsterol;C27H46O;2.27774997510691
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Lignoceric acid;lgnc;C24H47O2;0.205669414365795
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Hexadecenoate (n-C16:1);hdcea;C16H29O2;17.3428366106907
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]});strch1;C66H112O56;0.0686903958170963
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Iodid;i;I;0.0076857812809903
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch);starch1200;C7200H12002O6001;0.0006359631853076
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Adrenic acid;adrn;C22H35O2;0.0361977737765831
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Stearidonic acid C18:4, n-3;strdnc;C18H27O2;2.65789609369156
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Celluose (n=500 repeating units, beta-1,4 glc);cell500;C3000H5002O2501;0.0302
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Vitamin K1 (phyQ);;C29H50O2;0.0002
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Co2+;cobalt2;Co;
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Molybdate;mobd;MoO4;
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Ni2+;ni2;Ni;
VMH-hiFloC;extracted from VMH (virtual metabolic human database) - high fat/low carb diet;Superoxide;o2s;O2;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Ca2+;ca2;Ca;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Cl-;cl;Cl;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Co2+;cobalt2;Co;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Cu2+;cu2;Cu;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Fe2+;fe2;Fe;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Fe3+;fe3;Fe;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);D-Glucose;glc__D;C6H12O6;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);H2O;h2o;H2O;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);H+;h;H;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);K+;k;K;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Mg;mg2;Mg;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Mn2+;mn2;Mn;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Molybdate;mobd;MoO4;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Na+;na1;Na;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Ammonium;nh4;NH4;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Ni2+;ni2;Ni;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Phosphate;pi;HO4P;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Sulfate;so4;SO4;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Zn2+;zn2;Zn;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);C6H8O7 (Citric acid);cit;C6H8O7;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);H3BO3;;H3BO3;
M9_o2s;M9_medium (minimal medium) based on protocol from Heilbronner lab (anaerobic with o2s);Superoxide;o2s;O2;
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Adenosine;adn;C10H13N5O4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Alanine;ala__L;C3H7NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);AMP;amp;C10H12N5O7P;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Arginine;arg__L;C6H15N4O2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Arsenite ;aso3;AsO3;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Aspartate;asp__L;C4H6NO4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Ca2+;ca2;Ca;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Vitamin B12;cbl1;C62CoH88N13O14P;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Cadmium ;cd2;Cd;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Cl-;cl;Cl;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);CMP;cmp;C9H12N3O8P;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Co2+;cobalt2;Co;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Chromate ;cro4;CrO4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Cu2+;cu2;Cu;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Cysteine;cys__L;C3H7NO2S;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Deoxyadenosine ;dad_2;C10H13N5O3;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Deoxycytidine;dcyt;C9H13N3O4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Fe2+;fe2;Fe;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Fe3+;fe3;Fe;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Folate;fol;C19H17N7O6;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);D-Glucose;glc__D;C6H12O6;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Glutamate;glu__L;C5H8NO4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Glycine;gly;C2H5NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);GMP;gmp;C10H12N5O8P;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Guanosine;gsn;C10H12N5O5;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);H2O;h2o;H2O;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Hydrogen sulfide;h2s;H2S;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);H+;h;H;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Hg2+;hg2;Hg;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Histidine;his__L;C6H9N3O2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Hypoxanthine;hxan;C5H4N4O;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Isoleucine;ile__L;C6H13NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Inosine;ins;C10H12N4O5;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);K+;k;K;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Leucine;leu__L;C6H13NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Lipoate;lipoate;C8H13O2S2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Lysine;lys__L;C6H15N2O2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Methionine;met__L;C5H11NO2S;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Mg;mg2;Mg;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Mn2+;mn2;Mn;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Molybdate;mobd;MoO4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Na+;na1;Na;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Isonicotinic acid;nac;C6H4NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Ammonium;nh4;NH4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Ni2+;ni2;Ni;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Phenylalanine;phe__L;C9H11NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Protoheme;pheme;C24H30FeN4O4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Phosphate;pi;HO4P;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);PAN;pnto__R;C9H15NO5;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Proline;pro__L;C5H9NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Pyridoxal;pydx;C8H9NO3;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Riboflavin;ribflv;C17H19N4O6;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Serine;ser__L;C3H7NO3;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Sulfate;so4;SO4;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Thiamin;thm;C12H17N4OS;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Threonine;thr__L;C4H9NO3;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Thymidine;thymd;C10H14N2O5;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Tryptophan;trp__L;C11H12N2O2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Tyrosine;tyr__L;C9H11NO3;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);UMP;ump;C9H11N2O9P;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Uracil;ura;C4H4N2O2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Uridine;uri;C9H12N2O6;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);L-Valine;val__L;C5H11NO2;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Zn2+;zn2;Zn;2.5
LB_o2s;Lysogeny broth (from CarveMe) (anaerobic with o2s);Superoxide;o2s;O2;5.0
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Alanine;ala__L;C3H7NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Argenine;arg__L;C6H15N4O2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Glutamate;glu__L;C5H8NO4;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Glycine;gly;C2H5NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Histidine;his__L;C6H9N3O2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Leucine;leu__L;C6H13NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Lysine;lys__L;C6H15N2O2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Phenylalanine;phe__L;C9H11NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Proline;pro__L;C5H9NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Serine;ser__L;C3H7NO3;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Threonine;thr__L;C4H9NO3;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Tryptophan;trp__L;C11H12N2O2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);L-Valine;val__L;C5H11NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Ca2+;ca2;Ca;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Cl-;cl;Cl;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Co2+;cobalt2;Co;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Cu2+;cu2;Cu;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Fe2+;fe2;Fe;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Fe3+;fe3;Fe;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);D-Glucose;glc__D;C6H12O6;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);H2O;h2o;H2O;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);K+;k;K;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Mg;mg2;Mg;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Mn2+;mn2;Mn;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Molybdate;mobd;MoO4;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Na+;na1;Na;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Ni2+;ni2;Ni;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Phosphate;pi;HO4P;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Sulfate;so4;SO4;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Zn2+;zn2;Zn;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);C6H8O7 (Citric acid);cit;C6H8O7;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);H3BO3;;H3BO3;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Ornithine;orn;C5H13N2O2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Fumerate;fum;C4H2O4;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Maleate;male;C4H2O4;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Pyruvate;pyr;C3H3O3;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Succinate;succ;C4H4O4;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Urea;urea;CH4N2O;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);2,2-Bipyridine;;C10H8N2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Riboflavin;ribflv;C17H20N4O6;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Pyridoxamine;pydam;C8H13N2O2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);(R)-Pantothenate;pnto__R;C9H15NO5;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Nicotinate;nac;C6H4NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Biotin;btn;C10H15N2O3S;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);4-Aminobenzoate;4abz;C7H6NO2;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Cobalamin II (part of vitamine B12);cbl2;C62H88CoN13O14P;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Cobalamin I (part of vitamine B12);cbl1;C62H88CoN13O14P;
SNM3_o2s;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water) (anaerobic with o2s);Superoxide;o2s;O2;
