medium;description;compound;bigg_id;formula;exchange_flux
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Sulfate;so4;SO4;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Zn2+;zn2;Zn;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);C6H8O7 (Citric acid);cit;C6H8O7;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);H3BO3;;H3BO3;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Ornithine;orn;C5H13N2O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Fumerate;fum;C4H2O4;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Maleate;male;C4H2O4;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Pyruvate;pyr;C3H3O3;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Succinate;succ;C4H4O4;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Urea;urea;CH4N2O;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);2,2-Bipyridine;;C10H8N2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Riboflavin;ribflv;C17H20N4O6;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Pyridoxamine;pydam;C8H13N2O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);(R)-Pantothenate;pnto__R;C9H15NO5;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Nicotinate;nac;C6H4NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Biotin;btn;C10H15N2O3S;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);4-Aminobenzoate;4abz;C7H6NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Cobalamin II (part of vitamine B12);cbl2;C62H88CoN13O14P;
